[SYS] 2025/11/13 - 18:09:41 | initializing token encoders 
[SYS] 2025/11/13 - 18:09:41 | token encoders initialized 
[SYS] 2025/11/13 - 18:09:41 | using MySQL as database 
[FATAL] 2025/11/13 - 18:09:41 | [dial tcp 172.20.0.2:3306: connect: connection refused] 
[SYS] 2025/11/13 - 18:09:41 | initializing token encoders 
[SYS] 2025/11/13 - 18:09:41 | token encoders initialized 
[SYS] 2025/11/13 - 18:09:41 | using MySQL as database 
[FATAL] 2025/11/13 - 18:09:41 | [dial tcp 172.20.0.2:3306: connect: connection refused] 
[SYS] 2025/11/13 - 18:09:41 | initializing token encoders 
[SYS] 2025/11/13 - 18:09:41 | token encoders initialized 
[SYS] 2025/11/13 - 18:09:41 | using MySQL as database 
[FATAL] 2025/11/13 - 18:09:41 | [dial tcp 172.20.0.2:3306: connect: connection refused] 
